MSN,YYYYMM,Value,Column_Order,Description,Unit
ELEGPUS,198607,242.672,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198608,225.166,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198609,206.692,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198610,197.754,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198611,196.432,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198612,213.551,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198613,2487.31,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198701,222.749,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198702,194.034,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198703,201.849,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198704,189.496,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198705,206.074,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198706,225.589,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198707,247.915,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198708,247.645,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198709,213.008,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198710,203.009,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198711,200.258,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198712,220.5,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198713,2572.127,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198801,237.897,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198802,216.937,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198803,214.013,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198804,196,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198805,208.371,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198806,232.747,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198807,257.461,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198808,267.693,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198809,220.179,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198810,210.608,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198811,209.593,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198812,232.752,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198813,2704.25,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198901,236.975,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198902,224.276,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198903,231.698,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198904,213.179,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198905,225.575,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198906,241.293,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198907,263.45,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198908,264.963,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198909,233.024,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198910,225.641,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198911,224.267,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198912,263.885,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198913,2848.227,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199001,243.779,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199002,218.83,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199003,233.252,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199004,218.373,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199005,230.832,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199006,258.176,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199007,275.71,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199008,278.19,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199009,246.662,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199010,232.783,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199011,220.509,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199012,244.224,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199013,2901.322,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199101,256.755,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199102,217.949,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199103,229.692,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199104,217.484,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199105,243.999,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199106,258.098,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199107,283.052,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199108,279.481,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199109,243.747,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199110,233.308,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199111,230.132,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199112,241.863,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199113,2935.561,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
